Date,Ticker,Entry_Price,Oracle_Score,Projected_Upside,Fair_Value,F_Score,Status,Safety_Badge,Momentum_Badge,Regime_Active
2026-01-04,CHOLAFIN.NS,1781.1,43.0,-56.1,781.44,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CIPLA.NS,1511.6,43.4,-56.2,662.08,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,CUB.NS,288.5,44.6,-18.8,234.25,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CLEAN.NS,869.8,21.3,-88.0,104.65,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,COALINDIA.NS,427.9,54.4,-6.7,399.33,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,COCHINSHIP.NS,1629.0,14.1,-70.1,486.54,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,COFORGE.NS,1650.3,8.2,-82.6,287.55,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,COHANCE.NS,518.3,7.7,-89.7,53.56,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,COLPAL.NS,2090.1,34.6,-64.0,752.58,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,CAMS.NS,756.55,16.0,-70.4,224.3,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CONCORDBIO.NS,1311.5,2.8,-85.0,197.2,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CONCOR.NS,531.8,27.7,-69.6,161.53,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,COROMANDEL.NS,2280.1,23.7,-62.9,846.79,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,CRAFTSMAN.NS,8013.5,41.5,-84.3,1261.87,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CREDITACC.NS,1287.7,13.3,-60.1,514.23,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CROMPTON.NS,252.1,34.2,-40.2,150.87,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
